,,,,,,涨跌,,,价值,,价值,,价值,触发价,触发价,占比,持仓,,年限,税前收益,税后收益,收益,(万元),
123015,蓝盾转债,115.855,-0.21%,蓝盾股份,6.56,-1.80%,1.73,5.820*,112.71,2.79%,购买,AA,购买,4.07,7.57,1.20%,7.49%,2024/8/13,5.258,-0.43%,-0.89%,购买,71.2,???
128062,亚药转债,106.9,0.51%,亚太药业,16.84,2.06%,3.52,16.3,103.31,3.47%,购买,AA,购买,11.41,21.19,10.70%,-,2025/4/2,5.893,2.03%,1.43%,购买,239.57,???
113015,隆基转债,128.3,0.24%,隆基股份,23.24,-0.98%,4.94,18.76,123.88,3.57%,购买,AA+,购买,13.13,24.39,3.30%,29.10%,2023/11/1,4.474,-3.38%,-3.78%,购买,0.38,???
123013,横河转债,109,-0.27%,横河模具,9.76,-0.91%,4.41,9.26,105.4,3.42%,购买,A+,购买,6.48,12.04,1.80%,0.21%,2024/7/26,5.208,1.32%,0.74%,购买,1.09,???
128024,宁行转债,126.071,-0.72%,宁波银行,21.75,-0.73%,1.31,18.01,120.77,4.39%,购买,AAA,购买,-,23.41,5.70%,17.03%,2023/12/5,4.567,-3.18%,-3.53%,购买,6.83,???
128034,江银转债,111.5,-0.44%,江阴银行,5.02,-1.18%,0.99,4.680**,107.26,3.95%,购买,AA+,购买,-,6.08,16.10%,14.56%,2024/1/26,4.71,-0.37%,-0.75%,购买,9.59,???
110040,生益转债,117.9,-0.90%,生益科技,13.06,-2.03%,4.17,11.62,112.39,4.90%,购买,AA+,购买,-,15.11,6.40%,37.31%,2023/11/23,4.534,-1.49%,-1.90%,购买,11.52,???
110047,山鹰转债,108.3,-0.64%,山鹰纸业,3.46,-1.42%,1.17,3.34,103.59,4.55%,购买,AA+,购买,2.34,4.34,14.50%,0.46%,2024/11/21,5.532,1.67%,1.08%,购买,52.57,???
123020,富祥转债,110.011,-0.98%,富祥股份,18.79,-1.21%,3.47,18.05,104.1,5.68%,购买,AA-,购买,12.63,23.46,10.00%,0.27%,2025/3/1,5.805,1.71%,1.07%,购买,10.57,???
128049,华源转债,103.551,-0.76%,华源控股,7.38,-0.94%,1.54,7.57,97.49,6.22%,购买,AA-,购买,5.3,9.84,17.40%,-,2024/11/27,5.548,2.06%,1.54%,购买,24.33,???
113533,参林转债,114.51,-0.94%,大参林,52.2,-0.72%,6.48,48.05,108.64,5.40%,购买,AA,购买,33.63,62.47,4.80%,-,2025/4/2,5.893,-0.20%,-0.60%,购买,92.73,???
123001,蓝标转债,108.5,-1.19%,蓝色光标,4.41,-2.43%,1.36,4.310***,102.32,6.04%,购买,AA,购买,3.02,5.6,1.80%,2.35%,2021/12/18,2.603,1.00%,0.19%,购买,25.02,???
123002,国祯转债,117.99,0.00%,国祯环保,9.71,0.62%,2.33,8.720*,111.35,5.96%,购买,AA,购买,6.1,11.34,9.50%,26.12%,2023/11/24,4.537,-1.50%,-1.91%,购买,0,???
128057,博彦转债,106.714,-0.45%,博彦科技,8.86,-1.23%,1.83,8.81,100.57,6.11%,购买,AA-,购买,6.17,11.45,12.40%,0.84%,2025/3/5,5.816,1.72%,1.17%,购买,31.3,???
128025,特一转债,110.55,0.85%,特一药业,16,-0.44%,3.15,15.450*,103.56,6.75%,购买,AA-,购买,10.81,20.09,10.60%,0.93%,2023/12/6,4.57,-0.05%,-0.47%,购买,6.93,???
110046,圆通转债,116.75,0.00%,圆通速递,12.03,-2.04%,2.87,10.89,110.47,5.68%,购买,AA+,购买,7.62,14.16,10.70%,0.94%,2024/11/19,5.526,-0.18%,-0.68%,购买,0,???
127007,湖广转债,108.611,-1.15%,湖北广电,8.06,-2.30%,0.81,7.920*,101.77,6.72%,购买,AA+,购买,5.54,10.3,24.20%,13.89%,2024/6/28,5.132,0.90%,0.41%,购买,3.27,???
128048,张行转债,112.3,0.00%,张家港行,6.39,-1.54%,1.17,6.06,105.45,6.50%,购买,AA+,购买,-,7.88,21.60%,4.25%,2024/11/12,5.507,0.33%,-0.14%,购买,0.34,???
113516,苏农转债,114.07,0.00%,苏农银行,6.76,-1.46%,0.99,6.34,106.62,6.99%,购买,AA+,购买,-,8.24,11.60%,7.45%,2024/8/1,5.225,0.26%,-0.27%,购买,0.23,???
113523,伟明转债,109.02,0.00%,伟明环保,24.38,-1.02%,5.06,23.92,101.92,6.97%,购买,AA,购买,16.74,31.1,4.00%,0.23%,2024/12/10,5.584,1.03%,0.53%,购买,0,???
110044,广电转债?!,153.52,0.78%,广电网络,9.91,-2.36%,1.85,6.91,143.42,7.04%,购买,AA,购买,4.84,8.98,1.20%,6.21%,2024/6/27,5.129,-5.86%,-6.28%,购买,490.19,???
113529,绝味转债,119.16,-0.54%,绝味食品,45.2,-0.79%,5.57,40.52,111.55,6.82%,购买,AA,购买,28.36,52.68,5.40%,8.12%,2025/3/11,5.833,-0.13%,-0.67%,购买,21.9,???
110052,贵广转债,112.66,-0.55%,贵广网络,8.54,-2.18%,1.9,8.13,105.04,7.25%,购买,AA+,购买,5.69,10.57,18.00%,0.69%,2025/3/5,5.816,0.97%,0.39%,购买,38,???
113517,曙光转债,121.65,0.10%,中科曙光,41.32,0.54%,9.62,36.53,113.11,7.55%,购买,AA,购买,25.57,47.49,3.00%,24.98%,2024/8/6,5.238,-1.38%,-1.82%,购买,146.77,???
128050,钧达转债,104.1,-0.30%,钧达股份,21,-1.78%,2.88,21.74,96.6,7.76%,购买,AA-,购买,15.22,28.26,12.50%,3.77%,2024/12/10,5.584,3.27%,2.52%,购买,73.73,???
113521,科森转债,105,-0.18%,科森科技,8.68,-2.03%,1.92,8.95,96.98,8.27%,购买,AA,购买,6.26,11.63,16.90%,12.11%,2024/11/16,5.518,1.81%,1.29%,购买,10.71,???
110054,通威转债,125,0.39%,通威股份,14.37,-4.71%,3.47,12.44,115.51,8.22%,购买,AA+,购买,8.71,16.17,9.00%,6.78%,2025/3/18,5.852,-1.35%,-1.82%,购买,274.1,???
113519,长久转债,105.11,-2.68%,长久物流,11.63,-1.02%,2.41,11.99,97,8.36%,购买,AA,购买,8.39,15.59,10.70%,1.45%,2024/11/7,5.493,2.59%,1.92%,购买,0.42,???
113515,高能转债,113.48,0.87%,高能环境,9.78,-2.00%,2.35,9.38,104.26,8.84%,购买,AA,购买,6.57,12.19,11.50%,36.59%,2024/7/26,5.208,-0.03%,-0.49%,购买,1.36,???
113020,桐昆转债,118,-1.72%,桐昆股份,13.59,-3.14%,1.49,12.51,108.63,8.63%,购买,AA+,购买,8.76,16.26,15.30%,8.97%,2024/11/19,5.526,-0.78%,-1.20%,购买,69.5,???
