bcode,scode,bname,sname,pb,convertprice,huishoujia,qiangshujia,expire
113509,,新泉转债,新泉股份,2.74,25.34,17.74,32.94,45446
128039,,三力转债,三力士,1.97,5.84,4.09,7.59,45450
128040,,华通转债,华通医药,2.74,11.45,8.02,14.88,45456
113510,,再升转债,再升科技,3.2,11.32,9.06,14.72,45461
113511,,千禾转债,千禾味业,4.04,25.86,18.1,33.62,45462
110044,,广电转债,广电网络,1.12,6.91,4.84,8.98,45470
127007,,湖广转债,湖北广电,0.84,10.16,7.11,13.21,45471
123010,,博世转债,博世科,3.6,14.3,10.01,18.59,45478
113512,,景旺转债,景旺电子,6.85,50.01,35.01,65.01,45479
113513,,安井转债,安井食品,4.45,35.46,24.82,46.1,45485
110045,,海澜转债,海澜之家,4.01,12.4,8.68,16.12,45486
128041,,盛路转债,盛路通信,2.1,6.88,4.82,8.94,45489
123011,,德尔转债,德尔股份,2.07,35.26,24.68,45.84,45491
123012,,万顺转债,万顺股份,1.04,6.47,4.53,8.41,45493
113515,,高能转债,高能环境,2.54,9.38,6.57,12.19,45499
123013,,横河转债,横河模具,4.47,9.26,6.48,12.04,45499
113516,,吴银转债,吴江银行,1.06,6.34,-,8.24,45505
128043,,东音转债,东音股份,3.11,13.47,9.43,17.51,45506
113517,,曙光转债,中科曙光,10.26,51.28,35.9,66.66,45510
