code,bond_name,bond_price,u1,stock_name,stock_price,u2,PB,convert_price,u3,u4,u5,rank,u6,back_sell_price,130_sell_price,bond_percentage,u7,expire,remaining_time,pretax_return,tax_return,back_sell_return,u8,u9
113521,科森转债,108.52,0.55%,科森科技,9.9,1.54%,2.35,8.95,110.61,-1.89%,购买,AA,购买,6.26,11.63,14.80%,会员,2024/11/16,5.564,1.18%,0.67%,购买,654.54,???
113519,长久转债,109.3,-0.74%,长久物流,13.31,1.45%,2.83,11.99,111.01,-1.54%,购买,AA,购买,8.39,15.59,9.40%,会员,2024/11/7,5.54,1.83%,1.18%,购买,53.7,???
113513,安井转债,118.95,2.53%,安井食品,42.8,3.18%,4.68,35.46,120.7,-1.45%,购买,AA-,购买,24.82,46.1,5.40%,会员,2024/7/12,5.216,-0.98%,-1.43%,购买,1385.58,???
128036,金农转债,150.0,-3.78%,金新农,14.62,-2.92%,4.78,9.62,151.98,-1.30%,购买,AA-,购买,6.73,12.51,3.70%,会员,2024/3/9,4.874,-6.11%,-6.48%,购买,4261.79,???
110047,山鹰转债,109.63,-0.13%,山鹰纸业,3.7,-0.54%,1.25,3.34,110.78,-1.04%,购买,AA+,购买,2.34,4.34,13.60%,会员,2024/11/21,5.577999999999999,1.43%,0.84%,购买,2866.89,???
128057,博彦转债,111.61200000000001,2.77%,博彦科技,10.03,3.94%,2.17,8.9,112.7,-0.97%,购买,AA-,购买,6.23,11.57,10.90%,会员,2025/3/5,5.8629999999999995,0.91%,0.38%,购买,1859.12,???
123002,国祯转债,119.59200000000001,-2.33%,国祯环保,10.51,-2.05%,2.67,8.720*,120.53,-0.78%,购买,AA,购买,6.1,11.34,9.20%,会员,2023/11/24,4.584,-1.78%,-2.18%,购买,410.63,???
113526,联泰转债,109.9,1.46%,联泰环保,13.63,2.25%,2.75,12.31,110.72,-0.74%,购买,AA,购买,8.62,16,13.40%,会员,2025/1/22,5.747999999999999,0.19%,-0.16%,购买,138.95,???
123001,蓝标转债,131.17,-1.09%,蓝色光标,5.69,-2.07%,2.15,4.310***,132.02,-0.64%,购买,AA,购买,3.02,5.6,1.60%,会员,2021/12/18,2.6489999999999996,-6.10%,-6.82%,购买,6319.69,???
128027,崇达转债,117.38600000000001,0.10%,崇达技术,17.41,2.23%,4.99,14.75,118.03,-0.55%,购买,AA,购买,10.32,19.18,5.30%,会员,2023/12/15,4.641,-1.26%,-1.68%,购买,100.77,???
