,,,,,,涨跌,,,价值,,价值,,价值,触发价,触发价,占比,持仓,,年限,税前收益,税后收益,收益,(万元),
110042,航电转债,119.84,-0.30%,中航电子?R,14.48,-0.21%,3.29,14.18,102.12,17.35%,购买,AAA,购买,9.93,18.43,9.40%,21.92%,2023/12/24,3.975,-2.33%,-2.75%,购买,0.48,
110031,航信转债,126,0.00%,航天信息?R,23.37,0.78%,3.76,21.790*,107.25,17.48%,购买,AAA,购买,15.25,28.33,5.50%,18.30%,2021/6/12,1.441,-9.94%,-10.91%,购买,0,
132020,19蓝星EBQ,114.53,0.00%,安迪苏?R,11.16,-0.27%,2.16,11.46,97.38,17.83%,购买,AAA,购买,8.02,14.9,15.00%,-,2024/10/18,4.795,-0.14%,-0.66%,购买,0,
123028,清水转债,104.85,0.06%,清水源,10.62,0.38%,1.44,11.95,88.87,17.98%,购买,AA-,购买,8.37,15.54,21.10%,0.23%,2025/6/18,5.46,2.96%,2.23%,购买,8.7,
127007,湖广转债,114.72,0.00%,湖北广电?R,5.45,-0.18%,0.77,5.610*,97.15,18.09%,购买,AA+,购买,3.93,7.29,25.20%,13.15%,2024/6/28,4.488,-0.32%,-0.85%,购买,0.23,
113530,大丰转债,113.41,0.00%,大丰实业,16.06,-0.43%,3.28,16.76,95.82,18.36%,购买,AA,购买,11.73,21.79,9.80%,0.00%,2025/3/26,5.23,1.44%,0.71%,购买,0.91,
128048,张行转债,118.5,0.00%,张家港行?R,5.93,-0.50%,1.04,5.91,100.34,18.10%,购买,AA+,购买,-,7.68,23.30%,20.42%,2024/11/12,4.863,-0.83%,-1.33%,购买,100.28,
110060,天路转债,120.44,-0.30%,西藏天路?R,7.37,-0.27%,1.87,7.24,101.8,18.31%,购买,AA,购买,5.07,9.41,17.00%,-,2025/10/27,5.819,-0.76%,-1.22%,购买,1.32,
113008,电气转债,116.35,0.00%,上海电气?R,5.04,0.20%,1.24,5.130*,98.25,18.42%,购买,AAA,购买,3.59,6.67,5.90%,14.95%,2021/2/2,1.085,-6.63%,-7.92%,购买,0,
127012,招路转债,116.6,0.17%,招商公路,8.94,0.22%,1.14,9.09,98.35,18.56%,购买,AAA,购买,6.36,11.82,9.10%,0.45%,2025/3/21,5.216,-1.42%,-1.71%,购买,1.05,
113509,新泉转债,119.9,0.00%,新泉股份,18.99,-0.16%,2.69,18.890*,100.53,19.27%,购买,AA,购买,13.22,24.56,10.40%,45.91%,2024/6/3,4.419,-1.80%,-2.24%,购买,0,
120003,19华菱EBQ,117,0.00%,华菱钢铁?R,4.85,0.41%,0.98,4.93,98.38,18.93%,购买,AAA,购买,3.45,6.41,9.80%,-,2024/11/25,4.899,-0.54%,-1.05%,购买,0,
110062,烽火转债,127.67,0.18%,烽火通信?R,27.88,0.87%,3.18,25.99,107.27,19.02%,购买,AAA,购买,18.19,33.79,9.50%,-,2025/12/1,5.915,-2.38%,-2.70%,购买,69.27,
127014,北方转债,117.4,0.09%,北方国际,8.67,-0.23%,1.45,8.84,98.08,19.70%,购买,AA+,购买,6.19,11.49,8.70%,-,2025/10/23,5.808,-0.27%,-0.75%,购买,0.82,
110041,蒙电转债,119,-0.75%,内蒙华电?R,2.78,-0.36%,1.16,2.82,98.58,20.71%,购买,AAA,购买,1.97,3.67,11.60%,22.81%,2023/12/21,3.967,-1.93%,-2.39%,购买,0.24,
128071,合兴转债,112.202,0.00%,合兴包装,4.07,-0.25%,1.62,4.38,92.92,20.75%,购买,AA,购买,3.07,5.69,12.50%,-,2025/8/15,5.619,0.46%,-0.02%,购买,1.12,
113027,华钰转债,107.15,-0.68%,华钰矿业?R,8.98,-2.39%,2.21,10.17,88.3,21.35%,购买,AA,购买,7.12,13.22,13.60%,0.23%,2025/6/13,5.447,1.36%,0.86%,购买,132.39,
113516,苏农转债,114.32,0.00%,苏农银行?R,5.32,0.00%,0.84,5.67,93.83,21.84%,购买,AA+,购买,-,7.37,13.40%,7.72%,2024/8/1,4.581,0.15%,-0.44%,购买,0,
113545,金能转债,115,0.17%,金能科技?R,10.78,-0.09%,1.33,11.4,94.56,21.62%,购买,AA,购买,7.98,14.82,20.60%,-,2025/10/13,5.781,0.05%,-0.43%,购买,1.27,
128044,岭南转债,103.948,0.27%,岭南股份,5.05,1.61%,1.63,5.920*,85.3,21.86%,购买,AA,购买,4.14,7.7,8.50%,26.24%,2024/8/14,4.616,1.62%,1.14%,购买,6.86,
113517,曙光转债,118.8,-0.75%,中科曙光?R,35.65,0.31%,8.05,36.53,97.59,21.73%,购买,AA,购买,25.57,47.49,3.50%,25.89%,2024/8/6,4.595,-1.12%,-1.62%,购买,73.45,
132014,18中化EBQ,105,0.00%,中国化学?R,6.55,0.46%,0.93,7.54,86.87,21.59%,购买,AAA,购买,5.28,9.8,10.80%,21.72%,2023/4/24,3.307,1.14%,0.59%,购买,0,
