,,,,,,涨跌,,,价值,,价值,,价值,触发价,触发价,占比,持仓,,年限,税前收益,税后收益,收益,(万元),,,
127006,敖东转债,109.469,0.43%,吉林敖东?R,15.99,0.19%,0.84,20.62,77.55,41.16%,购买,AA+,购买,14.43,26.81,12.90%,17.23%,2024/3/13,3.929,24.075,-0.35%,-0.73%,购买,469.88,150.63,
120004,20华菱EBQ,105.04,-0.01%,华菱钢铁?R,4,0.50%,0.87,5.38,74.35,41.28%,购买,AAA,购买,3.77,6.99,6.10%,-,2025/1/9,4.756,15,1.77%,1.22%,购买,651.6,146.32,
127012,招路转债,109.399,0.17%,招商公路,7.03,0.43%,0.9,9.09,77.34,41.45%,购买,AAA,购买,6.36,11.82,11.50%,11.84%,2025/3/21,4.951,49.999,-0.23%,-0.54%,购买,2990.56,150.85,
113532,海环转债,107.73,0.11%,海峡环保,5.87,0.17%,1.61,7.75,75.74,42.24%,购买,AA,购买,5.42,10.07,17.40%,0.18%,2025/4/1,4.981,4.6,0.96%,0.48%,购买,151.36,149.97,
110043,无锡转债,110.02,1.63%,无锡银行,5.05,0.00%,0.8,6.52*,77.45,42.05%,购买,AA+,购买,-,8.48,32.10%,18.60%,2024/1/30,3.811,29.991,-0.17%,-0.63%,购买,19020.33,152.07,
110053,苏银转债,113,0.36%,江苏银行?R,6.01,0.17%,0.53,7.56,79.5,42.14%,购买,AAA,购买,-,9.83,28.80%,19.43%,2025/3/13,4.929,200,1.10%,0.41%,购买,5675.63,155.14,
113017,吉视转债,105.9,-0.14%,吉视传媒?R,2.18,3.32%,0.96,2.95,73.9,43.30%,购买,AA+,购买,2.06,3.83,23.00%,16.17%,2023/12/27,3.718,15.591,0.99%,0.50%,购买,5096.33,149.2,
127011,中鼎转2,112.407,-0.53%,中鼎股份?R,9.28,0.00%,1.29,11.79,78.71,42.81%,购买,AA+,购买,8.25,15.33,10.60%,31.36%,2025/3/8,4.915,11.999,0.51%,-0.04%,购买,26635.25,155.22,
132005,15国资EB,110.5,-0.23%,中国太保?R,27.61,0.36%,1.4,35.66,77.43,43.46%,购买,AAA,购买,-,-,0.80%,17.63%,2020/12/8,0.666,20,-2.54%,-5.03%,购买,119.05,153.96,
123033,金力转债,112.001,-0.33%,金力永磁,31.9,-1.48%,9.91,41.2,77.43,44.65%,购买,AA-,购买,28.84,53.56,3.30%,-,2025/10/31,5.564,4.35,1.58%,0.89%,购买,3113.33,156.65,
110055,伊力转债,110.78,0.29%,伊力特?R,13.18,0.15%,2.12,17.25,76.41,44.98%,购买,AA,购买,12.07,22.43,15.30%,21.88%,2025/3/15,4.934,8.759,0.78%,0.23%,购买,161.5,155.76,
128046,利尔转债,115.862,0.14%,利尔化学?R,14.87,0.68%,2.32,18.62,79.86,45.08%,购买,AA,购买,13.03,24.21,10.90%,19.75%,2024/10/17,4.526,8.519,-0.58%,-1.09%,购买,410.97,160.94,
113524,奇精转债,107.99,0.26%,奇精机械,10.81,2.66%,1.96,14.56,74.24,45.46%,购买,AA,购买,10.19,18.93,15.80%,4.48%,2024/12/14,4.685,3.3,1.93%,1.24%,购买,244.38,153.45,
113525,台华转债,107.45,-0.29%,台华新材,5.99,-0.17%,1.73,8.11,73.86,45.48%,购买,AA,购买,5.68,10.54,11.60%,17.31%,2024/12/16,4.69,5.329,1.47%,0.89%,购买,203.13,152.93,
128018,时达转债,106.7,0.37%,新时达,5.41,0.93%,1.26,7.45*,72.62,46.93%,购买,AA,购买,5.21,9.69,26.30%,13.46%,2023/11/6,3.578,8.822,0.95%,0.41%,购买,348.88,153.63,
113519,长久转债,112.18,0.66%,长久物流,9.05,2.61%,1.93,11.85,76.37,46.89%,购买,AA,购买,8.29,15.4,13.70%,25.98%,2024/11/7,4.584,6.969,1.53%,0.76%,购买,1179.53,159.07,
113026,核能转债,106.58,0.06%,中国核电?R,4.48,-0.22%,1.42,6.2,72.26,47.50%,购买,AAA,购买,4.34,8.06,11.20%,2.18%,2025/4/14,5.016,78,0.64%,0.27%,购买,1675,154.08,
123023,迪森转债,104.598,0.14%,迪森股份,5.06,0.60%,1.18,7.19,70.38,48.62%,购买,AA,购买,5.03,9.35,32.70%,22.41%,2025/3/20,4.948,6,1.95%,1.40%,购买,414.34,153.22,
113562,璞泰转债,119.27,0.05%,璞泰来?R,66.4,0.15%,8.48,83.18,79.83,49.40%,购买,AA,购买,58.23,108.13,3.00%,-,2025/1/2,4.737,8.7,-1.09%,-1.59%,购买,1125.5,168.67,
128033,迪龙转债,105.956,0.23%,雪迪龙,6.33,0.80%,1.79,8.93*,70.88,49.49%,购买,AA,购买,6.25,11.61,13.60%,25.69%,2023/12/27,3.718,5.198,0.98%,0.48%,购买,341.62,155.45,
123007,道氏转债,111.1,0.09%,道氏技术,11.14,-0.62%,2.13,15.05*,74.02,50.09%,购买,AA-,购买,10.54,19.57,5.90%,22.70%,2023/12/28,3.721,3.041,0.05%,-0.51%,购买,124.82,161.19,
113528,长城转债,106.42,0.01%,长城科技,17.03,0.06%,1.62,24.03,70.87,50.16%,购买,AA-,购买,16.82,31.24,20.90%,28.82%,2025/3/1,4.896,6.339,2.11%,1.46%,购买,1635.64,156.58,
128015,久其转债,105.279,-0.12%,久其软件,6.64,3.43%,4.25,9.48*,70.04,50.31%,购买,A+,购买,6.64,12.32,16.50%,17.40%,2023/6/8,3.164,7.796,1.96%,1.25%,购买,1364.86,155.59,
123011,德尔转债,108.101,-0.14%,德尔股份,24.9,0.93%,1.4,34.66,71.84,50.47%,购买,AA-,购买,24.26,45.06,8.80%,25.35%,2024/7/18,4.277,2.508,1.93%,1.21%,购买,254.6,158.57,
128026,众兴转债,103.035,-0.06%,众兴菌业,7.9,0.89%,1.11,11.54,68.46,50.50%,购买,AA-,购买,8.08,15,31.70%,10.68%,2023/12/13,3.679,9.195,1.91%,1.37%,购买,4277.95,153.53,
113527,维格转债,101.63,-0.56%,锦泓集团,7.05,-0.42%,0.7,10.52,67.02,51.64%,购买,AA,购买,7.36,13.68,41.90%,3.85%,2025/1/23,4.795,7.458,3.63%,2.87%,购买,1001.5,153.27,
113021,中信转债,109.81,-0.08%,中信银行?R,5.15,-0.19%,0.49,7.22,71.33,53.95%,购买,AAA,购买,-,9.39,15.90%,3.76%,2025/3/3,4.901,400,1.66%,0.98%,购买,4029.5,163.76,
113530,大丰转债,108.31,-0.31%,大丰实业,11.77,0.94%,2.4,16.76,70.23,54.22%,购买,AA,购买,11.73,21.79,13.30%,0.50%,2025/3/26,4.964,6.299,2.40%,1.64%,购买,1180.38,162.53,
